PLAYER,TEAM,AGE,FGM,FGA,FGPercent
Mario Chalmers,MEM,31,0.5,1.3,39.7
Mario Hezonja,ORL,23,0.4,1.4,31.5
Markel Brown,HOU,26,0.3,0.8,33.3
Markelle Fultz,PHI,19,0.0,0.3,0.0
Markieff Morris,WAS,28,0.5,1.3,37.5
Marquese Chriss,PHX,20,0.4,1.4,27.0
Marquis Teague,MEM,25,0.0,1.0,0.0
Marreese Speights,ORL,30,0.3,0.7,43.8
Marshall Plumlee,MIL,25,0.0,0.0,0.0
Marvin Williams,CHA,31,0.6,1.7,36.6
Mason Plumlee,DEN,28,0.0,0.0,0.0
Matt Costello,SAS,24,0.0,0.0,0.0
Matt Williams Jr.,MIA,24,0.0,0.5,0.0
Matthew Dellavedova,MIL,27,0.2,0.7,36.0
Maurice Harkless,POR,24,0.5,1.4,37.6
Maxi Kleber,DAL,26,0.4,1.0,35.4
Meyers Leonard,POR,26,0.3,0.4,63.6
Michael Beasley,NYK,29,0.4,0.9,42.9
Michael Carter-Williams,CHA,26,0.1,0.7,20.6
Michael Kidd-Gilchrist,CHA,24,0.1,0.4,34.5
Mike Conley,MEM,30,0.3,1.8,13.6
Mike James,NOP,27,0.5,1.3,37.8
Mike Muscala,ATL,26,0.7,1.3,54.7
Mike Scott,WAS,29,0.4,0.9,41.3
Miles Plumlee,ATL,29,0.0,0.0,100
Milos Teodosic,LAC,31,0.8,1.8,43.8
Milton Doyle,BKN,24,0.2,0.8,20.0
Mindaugas Kuzminskas,NYK,28,-,-,-
Mirza Teletovic,MIL,32,0.3,0.8,37.5
Monte Morris,DEN,22,0.0,0.0,0.0
Montrezl Harrell,LAC,24,0.0,0.0,0.0
Myke Henry,MEM,25,0.5,1.3,42.1
Myles Turner,IND,22,0.6,1.4,44.6
Nate Wolters,UTA,26,0.0,0.3,0.0
Naz Mitrou-Long,UTA,24,-,-,-
Nemanja Bjelica,MIN,29,0.4,1.1,40.6
Nene,HOU,35,0.0,0.1,0.0
Nerlens Noel,DAL,23,0.0,0.0,0.0
Nick Collison,OKC,37,0.0,0.1,0.0
Nick Young,GSW,32,0.7,1.9,36.6
Nicolas Batum,CHA,29,0.6,1.7,31.7
Nicolas Brussino,ATL,25,0.0,0.3,0.0
Nigel Hayes,SAC,23,1.0,2.7,37.5
Nik Stauskas,BKN,24,0.3,0.9,29.0
Nikola Jokic,DEN,23,0.7,1.8,40.3
Nikola Mirotic,NOP,27,1.1,2.5,42.5
Nikola Vucevic,ORL,27,0.6,1.5,38.0
Noah Vonleh,CHI,22,0.2,0.7,26.5
Norman Powell,TOR,24,0.5,1.4,31.9
OG Anunoby,TOR,20,0.7,1.6,44.5
Okaro White,CLE,25,0.2,1.0,20.0
Omer Asik,CHI,31,0.0,0.0,0.0
Omri Casspi,GSW,29,0.1,0.1,57.1
Otto Porter Jr.,WAS,24,1.0,2.1,47.1
PJ Dozier,OKC,21,0.0,0.5,0.0
PJ Tucker,HOU,32,1.2,3.0,40.1
Pascal Siakam,TOR,24,0.3,1.1,23.5
Pat Connaughton,POR,25,0.4,1.1,35.2
Patrick Beverley,LAC,29,0.5,2.4,23.1
Patrick McCaw,GSW,22,0.2,0.6,37.1
Patrick Patterson,OKC,29,0.6,1.5,38.4
Patty Mills,SAS,29,1.1,2.4,45.7
Pau Gasol,SAS,37,0.4,1.2,34.1
Paul George,OKC,27,1.5,3.8,39.2
Paul Millsap,DEN,33,0.5,1.3,34.1
Paul Zipser,CHI,24,0.4,1.1,36.7
Quincy Acy,BKN,27,0.7,2.1,31.3
Quincy Pondexter,CHI,30,0.0,0.4,11.1
Quinn Cook,GSW,25,0.7,1.5,45.0
RJ Hunter,HOU,24,0.0,0.0,0.0
Rajon Rondo,NOP,32,0.5,1.6,32.6
Ramon Sessions,WAS,31,0.1,0.5,25.0
Rashad Vaughn,ORL,21,0.4,0.7,50.0
Raul Neto,UTA,25,0.4,0.8,48.5
Raymond Felton,OKC,33,0.6,1.4,43.4
Reggie Bullock,DET,27,0.8,2.0,42.9
Reggie Hearn,DET,26,1.0,1.0,100
Reggie Jackson,DET,27,0.5,1.4,37.0
Richard Jefferson,DEN,37,0.1,0.2,33.3
Richaun Holmes,PHI,24,0.1,0.4,20.0
Ricky Rubio,UTA,27,0.9,2.5,36.0
Robert Covington,PHI,27,0.5,1.6,33.3
Robin Lopez,CHI,30,0.2,0.8,25.9
Rodney Hood,CLE,25,1.0,2.6,39.5
Rodney McGruder,MIA,26,0.5,1.5,33.3
Rodney Purvis,ORL,24,0.3,1.2,25.0
Ron Baker,NYK,25,0.2,0.6,41.2
Rondae Hollis-Jefferson,BKN,23,0.2,0.6,27.5
Royce O'Neale,UTA,24,0.4,1.0,34.4
Rudy Gay,SAS,31,0.3,1.1,25.9
