PLAYER,TEAM,AGE,MIN
PJ Tucker,HOU,32,27.8
Pascal Siakam,TOR,24,20.5
Pat Connaughton,POR,25,18.3
Patrick Beverley,LAC,29,30.3
Patrick McCaw,GSW,22,16.9
Patrick Patterson,OKC,29,15.7
Patty Mills,SAS,29,25.3
Pau Gasol,SAS,37,23.8
Paul George,OKC,27,36.6
Paul Millsap,DEN,33,29.6
Paul Zipser,CHI,24,15.3
Quincy Acy,BKN,27,19.2
Quinn Cook,GSW,25,20.0
Rajon Rondo,NOP,32,26.0
Ramon Sessions,WAS,31,14.9
Raul Neto,UTA,25,12.3
Raymond Felton,OKC,33,16.8
Reggie Bullock,DET,27,27.9
Reggie Jackson,DET,27,26.6
Richaun Holmes,PHI,24,14.8
Ricky Rubio,UTA,27,29.9
Robert Covington,PHI,27,31.8
