PLAYER,TEAM,AGE,FGM,FGA,FGPercent
Jacob Pullen,PHI,28,0.0,0.3,0.0
Jacob Wiley,BKN,23,0.0,0.0,0.0
Jae Crowder,UTA,27,0.7,2.2,30.9
Jahlil Okafor,BKN,22,0.0,0.0,0.0
Jake Layman,POR,24,0.1,0.4,18.2
Jakob Poeltl,TOR,22,0.0,0.0,0.0
Jalen Jones,DAL,24,0.3,0.5,60.0
Jamal Crawford,MIN,38,0.7,2.1,31.3
Jamal Murray,DEN,21,1.2,3.1,39.1
Jameel Warney,DAL,24,0.0,0.0,0.0
Jameer Nelson,DET,36,0.5,1.5,34.7
Jamel Artis,ORL,25,0.3,0.8,33.3
James Ennis III,DET,27,0.4,1.1,36.5
James Harden,HOU,28,2.8,8.0,35.6
James Johnson,MIA,31,0.4,1.2,30.1
James Michael McAdoo,PHI,25,0.3,1.7,20.0
James Webb III,BKN,24,0.1,0.4,25.0
James Young,PHI,22,0.3,1.0,33.3
Jamil Wilson,LAC,27,1.4,3.4,42.6
Jared Dudley,PHX,32,0.4,1.2,32.7
Jarell Eddie,CHI,26,0.0,0.7,0.0
Jarell Martin,MEM,23,0.2,0.5,36.8
Jarrett Allen,BKN,19,0.0,0.0,0.0
Jarrett Jack,NYK,34,0.3,0.9,34.6
Jason Smith,WAS,32,0.1,0.6,16.7
Jason Terry,MIL,40,0.3,1.0,29.5
Jawun Evans,LAC,21,0.2,0.6,33.3
Jaylen Brown,BOS,21,0.8,2.0,38.0
Jaylen Morris,ATL,22,0.2,0.2,100
Jayson Tatum,BOS,20,0.6,1.6,38.2
Jeff Green,CLE,31,0.3,0.9,34.8
Jeff Teague,MIN,29,0.7,1.9,34.4
Jeff Withey,DAL,28,0.1,0.4,25.0
Jerami Grant,OKC,24,0.1,0.4,32.4
Jeremy Lamb,CHA,25,0.7,2.1,35.4
Jeremy Lin,BKN,29,1.0,2.0,50.0
Jerian Grant,CHI,25,0.6,1.7,35.9
Jerryd Bayless,PHI,29,0.8,2.2,34.9
Jimmy Butler,MIN,28,0.6,1.7,34.7
Joakim Noah,NYK,33,0.0,0.0,0.0
Jodie Meeks,WAS,30,0.7,1.9,37.0
Joe Harris,BKN,26,1.1,2.6,44.3
Joe Ingles,UTA,30,1.3,2.9,45.7
Joe Johnson,HOU,36,0.3,1.2,27.1
Joe Young,IND,25,0.3,0.8,35.9
Joel Bolomboy,MIL,24,0.0,0.2,0.0
Joel Embiid,PHI,24,0.7,2.7,27.6
Joffrey Lauvergne,SAS,26,0.0,0.0,0.0
John Collins,ATL,20,0.0,0.0,33.3
John Henson,MIL,27,0.0,0.0,33.3
John Holland,CLE,29,0.2,0.7,33.3
John Wall,WAS,27,1.2,3.3,35.4
Johnathan Motley,DAL,22,0.0,0.0,0.0
Johnny O'Bryant III,CHA,24,0.4,0.9,41.9
Jon Leuer,DET,28,0.0,0.1,0.0
Jonas Jerebko,UTA,31,0.3,0.9,33.3
Jonas Valanciunas,TOR,25,0.3,0.7,47.9
Jonathan Isaac,ORL,20,0.3,0.7,40.0
Jonathon Simmons,ORL,28,0.6,1.8,33.9
Jordan Bell,GSW,23,0.0,0.1,0.0
Jordan Clarkson,CLE,25,0.9,2.7,32.9
Jordan Crawford,NOP,29,1.0,1.5,66.7
Jordan Mickey,MIA,23,0.0,0.3,0.0
Jose Calderon,CLE,36,0.5,1.1,43.3
Josh Gray,PHX,24,0.4,1.2,33.3
Josh Hart,LAL,23,0.6,1.6,34.0
Josh Huestis,OKC,26,0.2,0.8,26.0
Josh Jackson,PHX,21,0.4,1.6,22.7
Josh Magette,ATL,28,0.3,0.9,26.7
Josh McRoberts,DAL,31,0.0,0.5,0.0
Josh Richardson,MIA,24,1.1,2.5,42.9
Josh Smith,NOP,32,0.0,0.0,0.0
Jrue Holiday,NOP,27,0.9,2.6,33.8
Juancho Hernangomez,DEN,22,0.2,1.0,18.2
Julius Randle,LAL,23,0.1,0.4,24.2
Julyan Stone,CHA,29,0.1,0.2,33.3
Justin Anderson,PHI,24,0.5,1.5,34.0
Justin Holiday,CHI,28,0.9,2.9,31.7
Justin Jackson,SAC,23,0.3,1.1,27.9
Justin Patton,MIN,20,0.0,0.0,0.0
Justise Winslow,MIA,22,0.2,0.5,33.3
Jusuf Nurkic,POR,23,0.0,0.1,0.0
Kadeem Allen,BOS,25,0.0,0.3,0.0
Karl-Anthony Towns,MIN,22,0.8,2.3,36.7
Kawhi Leonard,SAS,26,0.8,2.6,30.4
Kay Felder,DET,23,0.1,1.0,7.1
Kelly Olynyk,MIA,26,0.9,2.4,37.3
Kelly Oubre Jr.,WAS,22,1.0,2.8,35.2
Kemba Walker,CHA,27,2.4,6.2,39.1
Kenneth Faried,DEN,28,0.0,0.0,0.0
Kent Bazemore,ATL,28,0.8,2.2,35.7
Kentavious Caldwell-Pope,LAL,25,1.5,3.8,40.0
Kevin Durant,GSW,29,1.9,4.5,42.8
Kevin Love,CLE,29,1.2,3.0,40.4
Kevon Looney,GSW,22,0.0,0.0,0.0
Khem Birch,ORL,25,0.0,0.0,0.0
Khris Middleton,MIL,26,1.2,3.4,35.1
Klay Thompson,GSW,28,1.8,4.5,41.1
Kobi Simmons,MEM,20,0.2,0.4,36.4
Kosta Koufos,SAC,29,0.0,0.0,0.0
Kris Dunn,CHI,24,0.6,1.8,32.6
Kristaps Porzingis,NYK,22,1.5,3.8,39.7
Kyle Anderson,SAS,24,0.0,0.2,25.0
Kyle Collinsworth,DAL,26,0.1,0.2,50.0
Kyle Korver,CLE,37,1.4,3.1,43.8
Kyle Kuzma,LAL,22,1.4,3.6,38.9
Kyle Lowry,TOR,32,2.2,5.5,40.1
Kyle O'Quinn,NYK,28,0.0,0.1,0.0
Kyle Singler,OKC,29,0.0,0.2,0.0
Kyrie Irving,BOS,26,2.1,4.9,42.6
LaMarcus Aldridge,SAS,32,0.2,0.7,25.5
Lance Stephenson,IND,27,0.5,1.8,29.1
Lance Thomas,NYK,29,0.3,0.7,35.3
Langston Galloway,DET,26,0.8,2.5,32.8
Larry Drew II,NOP,28,0.2,0.7,33.3
Larry Nance Jr.,CLE,25,0.0,0.0,33.3
Lauri Markkanen,CHI,20,1.4,4.0,34.9
LeBron James,CLE,33,1.3,3.5,38.0
London Perrantes,CLE,23,0.0,0.2,0.0
Lonzo Ball,LAL,20,1.3,4.3,29.6
Lorenzo Brown,TOR,27,0.1,0.4,25.0
Lou Williams,LAC,31,1.5,4.2,36.9
Luc Mbah a Moute,HOU,31,0.4,1.1,36.7
Lucas Nogueira,TOR,25,0.1,0.2,40.0
Luis Montero,DET,24,0.0,0.0,0.0
Luke Babbitt,MIA,28,0.6,1.7,35.9
Luke Kennard,DET,21,0.8,1.9,41.1
Luke Kornet,NYK,22,0.9,3.2,27.1
Luol Deng,LAL,32,0.0,0.0,0.0
Malachi Richardson,TOR,22,0.3,0.8,45.0
Malcolm Brogdon,MIL,25,0.8,2.2,35.3
Malcolm Delaney,ATL,29,0.4,1.2,31.7
Malcolm Miller,TOR,25,0.4,0.8,45.5
Malik Beasley,DEN,21,0.2,0.7,33.3
Malik Monk,CHA,20,0.7,2.3,31.3
Mangok Mathiang,CHA,25,0.0,0.0,0.0
Manu Ginobili,SAS,40,0.5,1.6,30.9
MarShon Brooks,MEM,29,2.5,2.5,100
Marc Gasol,MEM,33,1.3,3.6,35.2
Marcin Gortat,WAS,34,0.0,0.0,0.0
Marco Belinelli,PHI,32,1.2,3.0,38.8
Marcus Georges-Hunt,MIN,24,0.1,0.3,25.0
Marcus Morris,BOS,28,1.0,2.8,37.1
Marcus Paige,CHA,24,0.0,0.5,0.0
Marcus Smart,BOS,24,1.0,3.3,29.5
Mario Chalmers,MEM,31,0.5,1.7,26.7
Mario Hezonja,ORL,23,0.9,2.4,37.5
Markel Brown,HOU,26,0.0,0.5,0.0
Markelle Fultz,PHI,19,0.0,0.0,0.0
Markieff Morris,WAS,28,0.6,1.6,37.4
Marquese Chriss,PHX,20,0.4,1.4,32.3
Marquis Teague,MEM,25,0.0,0.5,0.0
Marreese Speights,ORL,30,1.4,4.1,35.4
Marshall Plumlee,MIL,25,0.0,0.0,0.0
Marvin Williams,CHA,31,1.0,2.3,41.8
Mason Plumlee,DEN,28,0.0,0.0,0.0
Matt Costello,SAS,24,0.0,0.0,0.0
Matt Williams Jr.,MIA,24,0.3,1.3,25.0
Matthew Dellavedova,MIL,27,0.6,1.6,37.3
Maurice Harkless,POR,24,0.3,0.6,51.4
Maxi Kleber,DAL,26,0.2,0.8,21.2
Meyers Leonard,POR,26,0.1,0.4,25.0
Michael Beasley,NYK,29,0.3,0.6,47.6
Michael Carter-Williams,CHA,26,0.1,0.5,25.0
Michael Kidd-Gilchrist,CHA,24,0.0,0.0,0.0
Mike Conley,MEM,30,1.8,4.7,37.5
Mike James,NOP,27,0.4,1.7,21.0
Mike Muscala,ATL,26,0.5,1.6,27.8
Mike Scott,WAS,29,0.6,1.3,43.2
Miles Plumlee,ATL,29,0.0,0.0,0.0
Milos Teodosic,LAC,31,1.4,3.8,36.5
Milton Doyle,BKN,24,0.2,1.4,14.3
Mindaugas Kuzminskas,NYK,28,0.0,0.0,0.0
Mirza Teletovic,MIL,32,1.8,3.8,47.4
Monte Morris,DEN,22,0.0,0.5,0.0
Montrezl Harrell,LAC,24,0.0,0.0,33.3
Myke Henry,MEM,25,0.5,1.6,29.2
Myles Turner,IND,22,0.8,2.0,39.7
Nate Wolters,UTA,26,0.0,0.0,0.0
Naz Mitrou-Long,UTA,24,1.0,1.0,100
Nemanja Bjelica,MIN,29,0.7,1.6,46.5
Nene,HOU,35,0.0,0.0,0.0
Nerlens Noel,DAL,23,0.0,0.0,0.0
Nick Collison,OKC,37,0.0,0.0,0.0
Nick Young,GSW,32,0.9,2.4,38.2
Nicolas Batum,CHA,29,1.1,3.1,33.9
Nicolas Brussino,ATL,25,0.0,0.3,0.0
Nigel Hayes,SAC,23,0.0,0.0,0.0
Nik Stauskas,BKN,24,0.7,1.5,48.1
Nikola Jokic,DEN,23,0.8,2.2,38.3
Nikola Mirotic,NOP,27,1.5,4.3,34.1
Nikola Vucevic,ORL,27,1.0,3.3,30.6
Noah Vonleh,CHI,22,0.3,0.9,31.1
Norman Powell,TOR,24,0.4,1.3,30.5
OG Anunoby,TOR,20,0.2,1.0,21.7
Okaro White,CLE,25,0.6,1.2,50.0
Omer Asik,CHI,31,0.0,0.0,0.0
Omri Casspi,GSW,29,0.1,0.3,42.9
Otto Porter Jr.,WAS,24,1.2,2.8,42.1
PJ Dozier,OKC,21,0.0,0.0,0.0
PJ Tucker,HOU,32,0.2,0.9,24.3
Pascal Siakam,TOR,24,0.1,0.5,17.1
Pat Connaughton,POR,25,0.6,1.5,36.4
Patrick Beverley,LAC,29,1.6,3.4,48.6
Patrick McCaw,GSW,22,0.2,0.9,17.3
Patrick Patterson,OKC,29,0.3,0.7,40.7
Patty Mills,SAS,29,1.1,3.2,34.1
Pau Gasol,SAS,37,0.3,0.8,35.6
Paul George,OKC,27,1.7,4.3,39.2
Paul Millsap,DEN,33,0.7,1.7,39.3
Paul Zipser,CHI,24,0.4,1.2,28.8
Quincy Acy,BKN,27,0.7,2.1,35.6
Quincy Pondexter,CHI,30,0.1,0.5,16.7
Quinn Cook,GSW,25,0.9,2.0,44.2
RJ Hunter,HOU,24,0.0,0.8,0.0
Rajon Rondo,NOP,32,0.3,0.9,35.2
Ramon Sessions,WAS,31,0.2,0.6,33.3
Rashad Vaughn,ORL,21,0.3,1.0,30.4
Raul Neto,UTA,25,0.1,0.3,30.8
Raymond Felton,OKC,33,0.6,1.7,33.3
Reggie Bullock,DET,27,1.2,2.7,46.0
Reggie Hearn,DET,26,0.0,0.0,0.0
Reggie Jackson,DET,27,0.9,2.7,31.5
Richard Jefferson,DEN,37,0.1,0.2,25.0
Richaun Holmes,PHI,24,0.1,0.5,15.0
Ricky Rubio,UTA,27,0.6,1.7,37.0
Robert Covington,PHI,27,2.1,5.5,37.6
Robin Lopez,CHI,30,0.0,0.2,27.3
Rodney Hood,CLE,25,1.5,3.7,39.7
Rodney McGruder,MIA,26,0.3,0.4,66.7
Rodney Purvis,ORL,24,0.6,1.9,31.6
Ron Baker,NYK,25,0.2,0.7,27.8
Rondae Hollis-Jefferson,BKN,23,0.0,0.2,23.1
Royce O'Neale,UTA,24,0.2,0.7,33.3
Rudy Gay,SAS,31,0.4,1.0,37.7
Rudy Gobert,UTA,25,0.0,0.0,0.0
Russell Westbrook,OKC,29,0.8,2.6,29.6
Ryan Anderson,HOU,29,1.5,3.8,39.6
Ryan Arcidiacono,CHI,24,0.1,0.4,12.5
Salah Mejri,DAL,31,0.0,0.1,0.0
Sam Dekker,LAC,23,0.1,0.5,14.3
Scotty Hopson,DAL,28,0.0,0.0,0.0
Sean Kilpatrick,CHI,28,0.4,1.1,31.4
Semi Ojeleye,BOS,23,0.1,0.6,19.5
Serge Ibaka,TOR,28,0.8,2.6,31.3
Shabazz Muhammad,MIL,25,0.1,0.4,14.3
Shabazz Napier,POR,26,0.6,1.6,37.6
Shane Larkin,BOS,25,0.4,1.0,38.8
Shaquille Harrison,PHX,24,0.1,0.7,16.7
Shaun Livingston,GSW,32,0.0,0.0,0.0
Shelvin Mack,ORL,27,0.5,1.4,37.5
Sindarius Thornwell,LAC,23,0.1,0.3,33.3
Skal Labissiere,SAC,22,0.2,0.6,34.3
Solomon Hill,NOP,27,0.4,1.6,27.3
Spencer Dinwiddie,BKN,24,1.1,3.6,31.3
Stanley Johnson,DET,21,0.4,1.7,24.5
Stephen Curry,GSW,30,3.0,6.9,43.9
Sterling Brown,MIL,23,0.3,0.8,39.0
Steven Adams,OKC,24,0.0,0.0,0.0
T.J. McConnell,PHI,26,0.2,0.4,44.0
TJ Leaf,IND,20,0.2,0.5,50.0
TJ Warren,PHX,24,0.2,0.6,23.8
Taj Gibson,MIN,32,0.0,0.1,25.0
Tarik Black,HOU,26,0.0,0.2,0.0
Taurean Prince,ATL,24,1.0,2.7,37.6
Terrance Ferguson,OKC,19,0.2,0.9,27.7
Terrence Ross,ORL,27,0.5,2.1,21.7
Terry Rozier,BOS,24,1.3,3.3,40.6
Thabo Sefolosha,UTA,33,0.2,0.5,35.0
Thaddeus Young,IND,29,0.4,1.3,33.0
Thomas Bryant,LAL,20,0.1,0.3,33.3
Thon Maker,MIL,21,0.2,0.7,27.7
Tim Frazier,WAS,27,0.1,0.7,22.2
Tim Hardaway Jr.,NYK,26,1.6,5.3,30.7
Tim Quarterman,HOU,23,0.0,0.0,0.0
Timofey Mozgov,BKN,31,0.0,0.1,0.0
Timothe Luwawu-Cabarrot,PHI,22,0.6,1.7,34.8
Tobias Harris,LAC,25,1.5,3.6,42.8
Tomas Satoransky,WAS,26,0.3,0.7,51.1
Tony Allen,NOP,36,0.0,0.1,0.0
Tony Bradley,UTA,20,0.0,0.1,0.0
Tony Parker,SAS,35,0.0,0.1,33.3
Tony Snell,MIL,26,0.8,1.9,42.4
Torrey Craig,DEN,27,0.2,0.6,23.8
Travis Wear,LAL,27,0.7,2.2,31.0
