PLAYER,TEAM,AGE,DIFFPercent
Kyle Collinsworth,DAL,26,1.3
Brandon Jennings,MIL,28,4.8
Josh Magette,ATL,28,14.5
Wes Iwundu,ORL,23,1.0
Manu Ginobili,SAS,40,-2.4
Raul Neto,UTA,25,-3.0
Nick Young,GSW,32,4.3
Lance Thomas,NYK,29,-5.1
Dante Exum,UTA,22,-12.3
Jawun Evans,LAC,21,3.8
Raymond Felton,OKC,33,2.4
Sam Dekker,LAC,23,-1.7
Jared Dudley,PHX,32,15.7
Sterling Brown,MIL,23,5.7
Jacob Wiley,BKN,23,-27.2
Bruno Caboclo,SAC,22,-7.6
Adreian Payne,ORL,27,4.8
Tyler Ennis,LAL,23,5.4
Joel Bolomboy,MIL,24,16.4
Isaiah Taylor,ATL,23,-3.5
Lance Stephenson,IND,27,9.2
Troy Williams,NYK,23,-1.9
Glenn Robinson III,IND,24,8.6
Gary Payton II,LAL,25,6.9
Malcolm Delaney,ATL,29,-0.6
Darrell Arthur,DEN,30,12.9
Tim Frazier,WAS,27,4.9
Terrance Ferguson,OKC,19,0.9
Rodney McGruder,MIA,26,3.0
DeAndre Liggins,NOP,30,7.6
Corey Brewer,OKC,32,7.9
Antonio Blakeney,CHI,21,2.2
Danuel House,PHX,24,-1.8
Tony Parker,SAS,35,4.9
Derrick White,SAS,23,-2.4
Justin Anderson,PHI,24,-8.2
Meyers Leonard,POR,26,7.6
Cedi Osman,CLE,22,-3.0
Jamel Artis,ORL,25,9.9
James Michael McAdoo,PHI,25,-26.0
Joakim Noah,NYK,33,-20.6
Jason Terry,MIL,40,5.6
Langston Galloway,DET,26,2.3
Shane Larkin,BOS,25,5.5
Dwight Buycks,DET,29,-1.4
Wayne Selden,MEM,23,4.2
James Young,PHI,22,-21.1
Norman Powell,TOR,24,-0.8
CJ Miles,TOR,31,-1.1
Jodie Meeks,WAS,30,2.8
Alec Burks,UTA,26,6.3
Isaiah Whitehead,BKN,23,-10.5
Jason Smith,WAS,32,0.5
Davon Reed,PHX,22,5.3
Frank Mason,SAC,24,6.9
Nigel Hayes,SAC,23,-31.3
Matt Costello,SAS,24,-16.3
Kobi Simmons,MEM,20,14.1
Derrick Walton Jr.,MIA,23,4.1
Arron Afflalo,ORL,32,-4.7
Dakari Johnson,OKC,22,1.0
Ron Baker,NYK,25,0.6
Brice Johnson,MEM,23,-11.9
Malik Monk,CHA,20,16.5
Henry Ellenson,DET,21,0.5
D.J. Wilson,MIL,22,15.2
Darrun Hilliard,SAS,24,25.3
Markel Brown,HOU,26,-0.1
Tony Allen,NOP,36,8.9
John Holland,CLE,29,7.5
Zhou Qi,HOU,22,-7.3
Milton Doyle,BKN,24,-0.5
TJ Leaf,IND,20,9.4
Malcolm Miller,TOR,25,8.7
Brandon Paul,SAS,26,0.0
Ike Anigbogu,IND,19,7.4
Guerschon Yabusele,BOS,22,8.4
Rashad Vaughn,ORL,21,-7.2
Alec Peters,PHX,22,-9.0
Ramon Sessions,WAS,31,16.4
Johnathan Motley,DAL,22,-27.6
Monte Morris,DEN,22,1.7
Caleb Swanigan,POR,20,2.1
PJ Dozier,OKC,21,-2.3
Malik Beasley,DEN,21,0.3
