PLAYER,TEAM,AGE,DIFFPercent
Dakari Johnson,OKC,22,-20.1
Greg Monroe,BOS,27,-1.6
Malik Beasley,DEN,21,5.4
Wade Baldwin IV,POR,22,38.9
Scotty Hopson,DAL,28,-32.9
Tyler Lydon,DEN,21,70.3
RJ Hunter,HOU,24,-36.5
Luis Montero,DET,24,-30.0
London Perrantes,CLE,23,5.4
Jacob Pullen,PHI,28,-39.2
Vincent Hunter,MEM,23,62.1
Reggie Hearn,DET,26,-12.5
Alan Williams,PHX,25,-9.4
Nicolas Brussino,ATL,25,-36.9
Derrick Williams,LAL,26,-42.7
Jarell Eddie,CHI,26,63.8
Deyonta Davis,MEM,21,-1.6
Ivica Zubac,LAL,21,-3.4
Derrick Walton Jr.,MIA,23,-8.5
Jacob Wiley,BKN,23,-3.8
Antonius Cleveland,ATL,24,23.3
Josh Smith,NOP,32,16.0
James Webb III,BKN,24,-0.2
Monte Morris,DEN,22,-36.3
Willy Hernangomez,CHA,23,-6.8
Meyers Leonard,POR,26,13.0
Lucas Nogueira,TOR,25,0.2
Caleb Swanigan,POR,20,6.4
Demetrius Jackson,PHI,23,3.8
Udonis Haslem,MIA,37,-16.3
Brandan Wright,HOU,30,1.3
Furkan Korkmaz,PHI,20,35.6
Bruno Caboclo,SAC,22,-22.5
Georgios Papagiannis,POR,20,7.5
Omer Asik,CHI,31,-25.2
Alex Poythress,IND,24,-9.7
Al Jefferson,IND,33,0.9
Larry Drew II,NOP,28,22.5
Johnathan Motley,DAL,22,7.2
Daniel Hamilton,OKC,22,-26.1
Willie Reed,DET,27,-7.3
Zhou Qi,HOU,22,27.2
Guerschon Yabusele,BOS,22,18.5
Jeff Withey,DAL,28,5.1
Joel Bolomboy,MIL,24,-7.4
Julyan Stone,CHA,29,7.5
Joffrey Lauvergne,SAS,26,11.9
Andrew Bogut,LAL,33,5.6
Adreian Payne,ORL,27,-24.1
Kyle Singler,OKC,29,-12.4
Chris McCullough,WAS,23,-2.2
Jake Layman,POR,24,-2.0
Johnny O'Bryant III,CHA,24,16.3
Ante Zizic,CLE,21,-2.6
D.J. Wilson,MIL,22,12.1
Darrell Arthur,DEN,30,-2.6
Cole Aldrich,MIN,29,-4.7
Charles Cooke,NOP,23,-30.3
Nate Wolters,UTA,26,-32.5
Joakim Noah,NYK,33,-1.2
Matt Williams Jr.,MIA,24,-41.0
Marcus Paige,CHA,24,-38.5
