PLAYER,TEAM,GP,< 5 Att,< 5 %,5 - 9 Att,5 - 9 %,10 - 14 Att,10 - 14 %,15 - 19 Att,15 - 19 %,20 - 24 Att,20 - 24 %,25 - 29 Att,25 - 29 %,0 - 2 Att 2,0 -2 % 2,2 - 4 Att 2,2 - 4 % 2,4 - 6 Att 2,4 - 6 % 2,6 + Att 2,6 + % 2,0 - 2 Att 3,0 -2 % 3,2 - 4 Att 3,2 - 4 % 3,4 - 6 Att 3,4 - 6 % 3,6 + Att 3,6 + % 3,2P Adj,3P Adj
George Hill,CLE,65,1.6,66,0.9,37.9,0.8,44.9,1,39.4,2,44.5,1.5,36.5,12,33.3,150,50,72,55.6,35,45.7,1,0.001,15,33.3,51,45.1,133,42.1,2.6,-2.8
Gerald Green,HOU,36,1.3,51.1,0.2,37.5,0.6,52.2,0.5,41.2,2.7,34.7,4.4,38.1,198,67.2,44,61.4,30,36.7,9,66.7,1,0.001,73,28.8,96,35.4,82,45.1,2.1,0.6
Giannis Antetokounmpo,MIL,72,9.7,70.6,2,39,1.8,35.7,2.2,32.3,1.6,37.2,1.4,31.4,5,60,526,65,291,46.7,101,52.5,0.001,0.001,7,0.001,26,26.9,96,35.4,5.8,-2.6
Glenn Robinson III,IND,18,0.8,53.3,0.4,42.9,0.3,60,0.6,18.2,0.7,50,0.4,0.001,95,56.8,16,50,11,45.5,4,25,2,50,0.001,0.001,4,50,15,20,-5.2,-3.6
Goran Dragic,MIA,72,5,56.7,1.4,40.6,2.1,44.2,1.7,35,1.4,40.4,2.7,35.5,26,50,313,52.1,215,51.2,61,41,0.001,0.001,41,31.7,149,38.9,95,35.8,8.6,-6.5
Gorgui Dieng,MIN,75,1.5,59.1,0.4,37,0.6,51.1,1,40.3,1.3,42.6,0.1,33.3,91,58.2,87,62.1,78,56.4,95,51.6,0.001,0.001,1,0.001,12,25,41,29.3,-5.4,-3.6
Greg Monroe,BOS,45,5.4,63.6,1.5,31.3,0.2,40,0.3,46.7,0.1,33.3,0.001,0.001,113,50.4,167,61.7,36,52.8,10,80,1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3.7,2.8
Harrison Barnes,DAL,74,4.2,58.1,2.3,45.6,1.8,36.1,2.1,41.1,2.9,40.4,2.2,35.6,90,60,370,52.2,248,48.4,65,50.8,0.001,0.001,13,46.2,104,30.8,194,39.2,2.4,-1.6
Hassan Whiteside,MIA,49,5.9,66.6,2.2,40.7,1.4,34.3,0.9,43.5,0.1,28.6,0.001,100,37,67.6,245,62.4,96,53.1,42,57.1,0.001,0.001,0.001,0.001,0.001,0.001,2,100,-1.3,-1.4
Ian Clark,NOP,71,1.5,62.1,1,45.2,0.6,51.2,0.6,48.9,1.4,38,1.5,29,51,58.8,123,52.8,66,65.2,32,59.4,0.001,0.001,4,25,31,19.4,145,34.5,-4.7,9.4
Ian Mahinmi,WAS,73,2.5,60.6,0.6,52.4,0.1,40,0.001,0.001,0.001,0.001,0.001,0.001,1,0.001,122,66.4,23,73.9,13,53.8,0.001,0.001,0.001,0.001,1,0.001,1,0.001,-0.3,-9.6
